Model: models/embedding-gecko-001 | SupportedGenerationMethods: ['embedText', 'countTextTokens']
Model: models/gemini-2.5-flash | SupportedGenerationMethods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Model: models/gemini-2.5-pro | SupportedGenerationMethods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Model: models/gemini-2.0-flash-exp | SupportedGenerationMethods: ['generateContent', 'countTokens', 'bidiGenerateContent']
Model: models/gemini-2.0-flash | SupportedGenerationMethods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Model: models/gemini-2.0-flash-001 | SupportedGenerationMethods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Model: models/gemini-2.0-flash-exp-image-generation | SupportedGenerationMethods: ['generateContent', 'countTokens', 'bidiGenerateContent']
Model: models/gemini-2.0-flash-lite-001 | SupportedGenerationMethods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Model: models/gemini-2.0-flash-lite | SupportedGenerationMethods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Model: models/gemini-2.0-flash-lite-preview-02-05 | SupportedGenerationMethods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Model: models/gemini-2.0-flash-lite-preview | SupportedGenerationMethods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Model: models/gemini-exp-1206 | SupportedGenerationMethods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Model: models/gemini-2.5-flash-preview-tts | SupportedGenerationMethods: ['countTokens', 'generateContent']
Model: models/gemini-2.5-pro-preview-tts | SupportedGenerationMethods: ['countTokens', 'generateContent', 'batchGenerateContent']
Model: models/gemma-3-1b-it | SupportedGenerationMethods: ['generateContent', 'countTokens']
Model: models/gemma-3-4b-it | SupportedGenerationMethods: ['generateContent', 'countTokens']
Model: models/gemma-3-12b-it | SupportedGenerationMethods: ['generateContent', 'countTokens']
Model: models/gemma-3-27b-it | SupportedGenerationMethods: ['generateContent', 'countTokens']
Model: models/gemma-3n-e4b-it | SupportedGenerationMethods: ['generateContent', 'countTokens']
Model: models/gemma-3n-e2b-it | SupportedGenerationMethods: ['generateContent', 'countTokens']
Model: models/gemini-flash-latest | SupportedGenerationMethods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Model: models/gemini-flash-lite-latest | SupportedGenerationMethods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Model: models/gemini-pro-latest | SupportedGenerationMethods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Model: models/gemini-2.5-flash-lite | SupportedGenerationMethods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Model: models/gemini-2.5-flash-image-preview | SupportedGenerationMethods: ['generateContent', 'countTokens', 'batchGenerateContent']
Model: models/gemini-2.5-flash-image | SupportedGenerationMethods: ['generateContent', 'countTokens', 'batchGenerateContent']
Model: models/gemini-2.5-flash-preview-09-2025 | SupportedGenerationMethods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Model: models/gemini-2.5-flash-lite-preview-09-2025 | SupportedGenerationMethods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Model: models/gemini-3-pro-preview | SupportedGenerationMethods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Model: models/gemini-3-flash-preview | SupportedGenerationMethods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Model: models/gemini-3-pro-image-preview | SupportedGenerationMethods: ['generateContent', 'countTokens', 'batchGenerateContent']
Model: models/nano-banana-pro-preview | SupportedGenerationMethods: ['generateContent', 'countTokens', 'batchGenerateContent']
Model: models/gemini-robotics-er-1.5-preview | SupportedGenerationMethods: ['generateContent', 'countTokens']
Model: models/gemini-2.5-computer-use-preview-10-2025 | SupportedGenerationMethods: ['generateContent', 'countTokens']
Model: models/deep-research-pro-preview-12-2025 | SupportedGenerationMethods: ['generateContent', 'countTokens']
Model: models/embedding-001 | SupportedGenerationMethods: ['embedContent']
Model: models/text-embedding-004 | SupportedGenerationMethods: ['embedContent']
